Site,Type,Date,Number,Class,Site,Item,Qty,Amount,Balance
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07310,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,183.110,"46,398.31","46,398.31"
,Invoice,2025-10-01,CR/INV/2526/07311,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,49.164,"12,457.63","58,855.93"
,Invoice,2025-10-01,CR/INV/2526/07312,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,426.491,"108,068.64","166,924.58"
,Invoice,2025-10-01,CR/INV/2526/07313,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,107.358,"27,203.39","194,127.97"
,Invoice,2025-10-01,CR/INV/2526/07314,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.847,"1,734.89","195,862.86"
,Invoice,2025-10-01,CR/INV/2526/07315,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.000,"7,601.70","203,464.55"
,Invoice,2025-10-01,CR/INV/2526/07316,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","204,984.89"
,Invoice,2025-10-01,CR/INV/2526/07317,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.830,"2,237.43","207,222.32"
,Invoice,2025-10-01,CR/INV/2526/07318,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.040,"2,290.64","209,512.97"
,Invoice,2025-10-01,CR/INV/2526/07319,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.000,"7,094.92","216,607.88"
,Invoice,2025-10-01,CR/INV/2526/07320,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","218,128.22"
,Invoice,2025-10-01,CR/INV/2526/07321,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","219,648.56"
,Invoice,2025-10-01,CR/INV/2526/07322,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","221,168.90"
,Invoice,2025-10-01,CR/INV/2526/07323,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.000,"1,266.95","222,435.85"
,Invoice,2025-10-01,CR/INV/2526/07330,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,484.434,"122,750.85","345,186.69"
,Invoice,2025-10-01,CR/INV/2526/07331,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,25.590,"6,484.25","351,670.94"
,Invoice,2025-10-01,CR/INV/2526/07332,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.000,"2,280.51","353,951.45"
,Cash Sales,2025-10-01,CASH/INV/2425/02050,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,529.726,"134,227.25","488,178.69"
,Cash Sales,2025-10-01,CASH/INV/2425/02051,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,506.434,"128,325.36","616,504.06"
,Cash Sales,2025-10-01,CASH/INV/2425/02055,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,127.000,"32,180.53","648,684.59"
,Cash Sales,2025-10-01,CASH/INV/2425/02057,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1650.976,"418,340.70","1,067,025.29"
,Invoice,2025-10-02,CR/INV/2526/07355,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,783.227,"198,461.86","1,265,487.15"
,Invoice,2025-10-02,CR/INV/2526/07356,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,31.340,"7,941.24","1,273,428.39"
,Invoice,2025-10-02,CR/INV/2526/07357,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.760,"9,061.22","1,282,489.61"
,Invoice,2025-10-02,CR/INV/2526/07358,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","1,283,503.17"
,Invoice,2025-10-02,CR/INV/2526/07359,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.100,"7,120.25","1,290,623.42"
,Invoice,2025-10-02,CR/INV/2526/07360,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","1,292,650.54"
,Invoice,2025-10-02,CR/INV/2526/07361,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","1,294,170.88"
,Invoice,2025-10-02,CR/INV/2526/07380,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,716.454,"181,542.37","1,475,713.25"
,Invoice,2025-10-02,CR/INV/2526/07381,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,32.441,"8,220.34","1,483,933.59"
,Invoice,2025-10-02,CR/INV/2526/07382,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.000,"2,533.90","1,486,467.49"
,Invoice,2025-10-02,CR/INV/2526/07383,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.000,"8,868.64","1,495,336.13"
,Invoice,2025-10-02,CR/INV/2526/07384,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,41.890,"10,614.50","1,505,950.63"
,Invoice,2025-10-02,CR/INV/2526/07385,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.445,"8,474.58","1,514,425.21"
,Cash Sales,2025-10-02,CASH/INV/2425/02066,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,47.573,"12,054.57","1,526,479.78"
,Cash Sales,2025-10-02,CASH/INV/2425/02067,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,118.000,"29,900.02","1,556,379.79"
,Cash Sales,2025-10-02,CASH/INV/2425/02076,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1897.769,"480,875.80","2,037,255.59"
,Cash Sales,2025-10-02,CASH/INV/2425/02077,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,119.000,"30,153.41","2,067,409.00"
,Invoice,2025-10-03,CR/INV/2526/07410,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,653.515,"165,594.07","2,233,003.07"
,Invoice,2025-10-03,CR/INV/2526/07411,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,94.859,"24,036.44","2,257,039.51"
,Invoice,2025-10-03,CR/INV/2526/07412,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.610,"2,435.04","2,259,474.55"
,Invoice,2025-10-03,CR/INV/2526/07413,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1.000,253.39,"2,259,727.94"
,Invoice,2025-10-03,CR/INV/2526/07414,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.600,"2,432.54","2,262,160.48"
,Invoice,2025-10-03,CR/INV/2526/07415,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.940,"8,600.05","2,270,760.53"
,Invoice,2025-10-03,CR/INV/2526/07416,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,36.720,"9,304.48","2,280,065.01"
,Invoice,2025-10-03,CR/INV/2526/07417,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","2,282,092.13"
,Invoice,2025-10-03,CR/INV/2526/07418,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.860,"1,484.86","2,283,576.99"
