Site,Type,Date,Number,Class,Site.1,Item,Qty,Amount,Balance,station_id,tank_id,date,fuel_type,qty,amount,balance
Diesel Tank 01,Invoice,2025-10-14,CR/INV/2526/07843,Unclassified,Diesel Tank 01,Lanka Auto Diesel,30.0,"7,042.37","3,622,943.65",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,30.0,7042.37,3622943.65
,Invoice,2025-10-14,CR/INV/2526/07844,Unclassified,Diesel Tank 01,Lanka Auto Diesel,29.0,"6,807.63","3,629,751.28",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,29.0,6807.63,3629751.28
,Invoice,2025-10-14,CR/INV/2526/07845,Unclassified,Diesel Tank 01,Lanka Auto Diesel,66.0,"15,493.22","3,645,244.50",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,66.0,15493.22,3645244.5
,Invoice,2025-10-14,CR/INV/2526/07846,Unclassified,Diesel Tank 01,Lanka Auto Diesel,183.52,"43,080.54","3,688,325.04",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,183.52,43080.54,3688325.04
,Invoice,2025-10-14,CR/INV/2526/07847,Unclassified,Diesel Tank 01,Lanka Auto Diesel,45.0,"10,563.56","3,698,888.60",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,45.0,10563.56,3698888.6
,Invoice,2025-10-14,CR/INV/2526/07848,Unclassified,Diesel Tank 01,Lanka Auto Diesel,39.36,"9,239.59","3,708,128.19",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,39.36,9239.59,3708128.19
,Invoice,2025-10-14,CR/INV/2526/07849,Unclassified,Diesel Tank 01,Lanka Auto Diesel,17.31,"4,063.45","3,712,191.64",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,17.31,4063.45,3712191.64
,Invoice,2025-10-14,CR/INV/2526/07850,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","3,715,712.83",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,15.0,3521.19,3715712.83
,Invoice,2025-10-14,CR/INV/2526/07851,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","3,719,234.02",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,15.0,3521.19,3719234.02
,Invoice,2025-10-14,CR/INV/2526/07852,Unclassified,Diesel Tank 01,Lanka Auto Diesel,15.0,"3,521.19","3,722,755.20",STATION_01,Diesel Tank 01,2025-10-14,DIESEL_AUTO,15.0,3521.19,3722755.2
