station_id,tank_id,fuel_type,day,total_qty,txn_count,avg_txn,std_txn,closing_balance,dow,is_weekend,balance_delta,qty_vs_balance_gap,qty_7d_mean,qty_7d_std,gap_7d_mean,gap_7d_std
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-14,919.2180000000001,11,83.56527272727273,135.2156492489615,3831683.83,1,0,0.0,919.2180000000001,919.2180000000001,0.0,919.2180000000001,0.0
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-16,987.95,11,89.81363636363636,104.03450587115096,4063601.14,3,0,231917.31000000006,-230929.36000000004,953.5840000000001,48.600863284513764,-115005.07100000003,163941.70171225822
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-17,1338.6399999999999,12,111.55333333333333,195.49801851324747,4377841.52,4,0,314240.3799999994,-312901.7399999994,1081.936,224.95272762960658,-180970.62733333316,162766.1041103275
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-18,2307.661,11,209.78736363636364,224.1131599399164,4919555.48,5,1,541713.9600000009,-539406.2990000009,1388.36725,639.7939228258712,-270579.5452500001,223116.3428474476
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-20,24.19,1,24.19,0.0,4925233.99,0,0,5678.5099999997765,-5654.319999999777,1115.5318,824.134765464484,-217594.50020000004,226655.57974373258
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-23,1765.311,12,147.10925,253.3468204271926,5339633.45,3,0,414399.45999999996,-412634.149,1223.8283333333334,783.4075083313069,-250101.10833333337,217803.3032283454
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-24,2144.851,12,178.73758333333333,445.7790233095436,5843128.41,4,0,503494.95999999996,-501350.10899999994,1355.403,795.3758150191226,-285993.82271428575,220340.4359177192
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-25,555.38,6,92.56333333333333,80.51327036623631,5973501.64,5,1,130373.22999999952,-129817.84999999951,1303.4261428571426,839.3057064481786,-304670.5467142857,196184.24486019684
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-26,407.54,3,135.84666666666666,221.96197448512063,6069170.02,6,1,95668.37999999989,-95260.8399999999,1220.5104285714285,901.9946496313706,-285289.3295714285,210837.53191764982
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-27,834.701,9,92.74455555555556,120.25588677598188,6265112.51,0,0,195942.49000000022,-195107.78900000022,1148.519142857143,911.0599313234793,-268461.6222857143,212956.51047160645
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-28,924.9010000000001,13,71.14623076923077,96.75198950594749,6482229.08,1,0,217116.5700000003,-216191.6690000003,950.982,754.2579090244926,-222288.10371428565,176304.67264051718
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-29,2181.4210000000003,18,121.19005555555557,175.21098257998497,6994308.71,2,0,512079.6299999999,-509898.2089999999,1259.157857142857,753.1777312309114,-294322.94499999995,176052.20507563697
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-30,1768.54,12,147.37833333333333,217.49047498781235,7409466.4,3,0,415157.6900000004,-413389.15000000043,1259.6191428571426,753.5402934237445,-294430.8022857143,176136.97899683018
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-10-31,1570.471,22,71.38504545454545,90.0839383804943,7778127.96,4,0,368661.5599999996,-367091.08899999957,1177.5648571428571,667.4330101764093,-275250.94228571426,156009.75438933462
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-01,1351.01,4,337.7525,286.4297486068792,317144.2,5,1,-7460983.76,-7459632.75,1291.2262857142857,609.0070767442458,-1322367.3565714287,2710014.020259118
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-02,772.9100000000001,4,193.22750000000002,186.6333249529676,498581.73,6,1,181437.52999999997,-180664.61999999997,1343.4220000000003,531.3531922516323,-1334567.8965714287,2703753.831973075
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-03,1438.45,10,143.845,173.58630530469082,836252.11,0,0,337670.38,-336231.93,1429.671857142857,481.6944552720217,-1354728.488142857,2694351.156360605
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-04,1838.731,10,183.8731,289.82441355086013,1267886.62,1,0,431634.5100000001,-429795.7790000001,1560.2189999999998,444.4875622586834,-1385243.361,2680481.4632303887
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-06,3203.4500000000003,12,266.9541666666667,500.43275200221973,2019883.6,3,0,751996.98,-748793.53,1706.2231428571429,747.2740332315472,-1419371.264,2668975.1935976646
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-07,2123.531,14,151.68078571428572,332.4862946779052,2518373.78,4,0,498490.1799999997,-496366.6489999997,1756.936142857143,764.0648623010636,-1431225.1924285714,2663942.110248369
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-08,2081.6,9,231.2888888888889,449.67092001246994,3007021.05,5,1,488647.27,-486565.67000000004,1829.9545714285716,767.6898480805597,-1448292.9897142856,2656359.8669304685
STATION_01,Diesel Tank 01,DIESEL_AUTO,2025-11-09,902.84,1,902.84,0.0,3218959.13,6,1,211938.08000000007,-211035.24000000008,1765.9302857142854,830.4161586218314,-412779.0597142857,194106.40848985207
