station_id,tank_id,fuel_type,day,total_qty,txn_count,avg_txn,std_txn,min_qty,max_qty,min_balance,max_balance,balance_delta,qty_vs_balance_gap,roll7_qty_mean,roll7_qty_std,qty_change,rule_score
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-14,919.2180000000001,11,83.56527272727273,135.2156492489615,15.0,464.028,3622943.65,3831683.83,208740.18000000017,209659.39800000016,919.2180000000001,0.0,0.0,418534.7936492493
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-16,987.95,11,89.81363636363636,104.03450587115096,26.0,354.472,3884226.2,4063601.14,179374.93999999994,180362.88999999996,953.5840000000001,48.600863284513764,68.73199999999997,359841.864505871
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-17,1338.6399999999999,12,111.55333333333333,195.49801851324747,3.249,694.526,4124601.14,4377841.52,253240.37999999942,254579.01999999944,1081.936,224.95272762960658,350.6899999999998,508014.8980185121
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-18,2307.661,11,209.78736363636364,224.1131599399164,15.0,734.928,4421824.58,4919555.48,497730.9000000004,500038.5610000004,1388.36725,639.7939228258712,969.0210000000002,997993.5741599407
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-20,24.19,1,24.19,0.0,24.19,24.19,4925233.99,4925233.99,0.0,24.19,1115.5318,824.134765464484,-2283.471,24.19
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-23,1765.311,12,147.10925,253.3468204271926,13.0,923.636,4978369.58,5339633.45,361263.8700000001,363029.1810000001,1223.8283333333334,783.4075083313069,1741.1209999999999,724546.3978204274
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-24,2144.851,12,178.73758333333333,445.7790233095436,25.0,1587.851,5346910.57,5843128.41,496217.83999999985,498362.6909999999,1355.403,795.3758150191226,379.5400000000002,995026.3100233093
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-25,555.38,6,92.56333333333333,80.51327036623631,19.01,240.724,5872153.83,5973501.64,101347.80999999959,101903.1899999996,1303.4261428571426,839.3057064481786,-1589.471,203331.51327036542
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-26,407.54,3,135.84666666666666,221.96197448512063,3.88,392.108,6065547.41,6069170.02,3622.609999999404,4030.149999999404,1220.5104285714285,901.9946496313706,-147.83999999999997,7874.7219744839285
ST001,Diesel Tank 01,Lanka Auto Diesel,2025-10-27,834.701,9,92.74455555555556,120.25588677598188,15.0,376.751,6157610.7,6265112.51,107501.80999999959,108336.51099999959,1148.519142857143,911.0599313234793,427.161,215958.57688677518
