tank_name,Type,timestamp,Number,Class,tank_name2,fuel_type,qty,Amount,balance,tank_id,station_id
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07310,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,183.11,"46,398.31",46398.31,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07311,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,49.164,"12,457.63",58855.93,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07312,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,426.491,"108,068.64",166924.58,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07313,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,107.358,"27,203.39",194127.97,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07314,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.847,"1,734.89",195862.86,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07315,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.0,"7,601.70",203464.55,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07316,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",204984.89,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07317,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.83,"2,237.43",207222.32,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07318,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.04,"2,290.64",209512.97,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07319,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.0,"7,094.92",216607.88,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07320,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",218128.22,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07321,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",219648.56,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07322,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",221168.9,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07323,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.0,"1,266.95",222435.85,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07330,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,484.434,"122,750.85",345186.69,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07331,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,25.59,"6,484.25",351670.94,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07332,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.0,"2,280.51",353951.45,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-01,CASH/INV/2425/02050,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,529.726,"134,227.25",488178.69,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-01,CASH/INV/2425/02051,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,506.434,"128,325.36",616504.06,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-01,CASH/INV/2425/02055,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,127.0,"32,180.53",648684.59,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-01,CASH/INV/2425/02057,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1650.976,"418,340.70",1067025.29,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07355,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,783.227,"198,461.86",1265487.15,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07356,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,31.34,"7,941.24",1273428.39,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07357,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.76,"9,061.22",1282489.61,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07358,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.0,"1,013.56",1283503.17,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07359,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.1,"7,120.25",1290623.42,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07360,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",1292650.54,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07361,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",1294170.88,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07380,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,716.454,"181,542.37",1475713.25,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07381,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,32.441,"8,220.34",1483933.59,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07382,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.0,"2,533.90",1486467.49,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07383,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.0,"8,868.64",1495336.13,Petrol Tank 01,ST001
